Timestamp,rain,Tmax,Tmin,wdsp,Rhmean,solar_rad,bp_discharge
8/1/2013,26.1,18.3,14.6,13.6,99.91666667,424.9980619,1.006
8/2/2013,0.3,18.7,11.5,11.5,89.25,344.6238424,0.547
8/3/2013,6.5,18.9,10.0,9.8,89.375,352.2706121,0.469
8/4/2013,1.0,18.9,10.9,6.0,94.08333333,363.443122,0.537
8/5/2013,0.0,18.6,11.5,13.2,75.29166667,237.3147335,0.337
8/6/2013,0.0,18.3,10.8,6.2,83.91666667,305.8415689,0.278
8/7/2013,0.0,19.0,12.9,5.0,82.625,310.5853883,0.252
8/8/2013,0.1,18.2,11.5,7.8,92.375,356.0875319,0.239
8/9/2013,0.0,18.5,11.2,6.9,74.04166667,219.6509058,0.226
8/10/2013,0.0,20.2,11.0,6.2,82.75,310.7661879,0.214
8/11/2013,0.1,18.0,11.9,7.3,77.29166667,251.0169064,0.205
8/12/2013,0.1,18.4,11.2,8.1,70.83333333,191.8512359,0.196
8/13/2013,0.4,17.9,12.0,6.5,86.0,332.7001713,0.189
8/14/2013,1.0,20.7,15.9,9.2,97.20833333,376.0967588,0.193
8/15/2013,7.4,17.5,12.9,12.4,99.91666667,394.323505,0.204
8/16/2013,0.1,20.5,10.3,9.5,87.04166667,326.3511408,0.193
8/17/2013,5.7,20.9,11.7,13.6,90.875,357.3178703,0.198
8/18/2013,0.5,18.2,10.7,7.7,82.45833333,319.3905164,0.182
8/19/2013,0.0,19.1,9.4,7.0,81.375,255.5052579,0.17
8/20/2013,0.0,18.2,11.6,10.5,91.91666667,354.3151552,0.161
8/21/2013,0.2,21.0,13.5,10.0,86.41666667,334.3021432,0.156
8/22/2013,0.0,18.0,12.2,5.8,93.45833333,360.177969,0.153
8/23/2013,1.2,19.1,11.3,9.4,88.45833333,342.7342274,0.153
8/24/2013,0.4,16.6,9.5,7.2,87.33333333,337.3550206,0.148
8/25/2013,0.0,18.9,12.3,11.6,82.75,276.2717428,0.143
8/26/2013,0.0,17.1,12.3,6.3,86.29166667,323.8547519,0.134
8/27/2013,0.3,20.8,13.9,7.6,85.45833333,330.9131963,0.129
8/28/2013,0.0,20.7,11.7,5.2,91.75,343.566093,0.126
8/29/2013,0.0,21.5,12.6,7.2,88.16666667,340.4988268,0.124
8/30/2013,0.2,21.3,10.2,10.9,85.95833333,332.11297,0.118
8/31/2013,0.0,17.1,9.2,7.8,69.5,182.3038259,0.113
9/1/2013,0.0,18.1,8.1,6.8,79.625,242.5719276,0.113
9/2/2013,0.0,21.9,9.4,7.0,84.79166667,299.8207561,0.111
9/3/2013,0.1,17.5,10.4,5.1,84.625,299.4943421,0.11
9/4/2013,0.0,19.5,10.9,7.4,89.66666667,345.8546862,0.109
9/5/2013,0.2,16.4,8.6,8.9,77.95833333,293.3625714,0.108
9/6/2013,2.4,14.9,7.2,11.3,77.79166667,269.8391587,0.133
9/7/2013,1.8,12.2,7.1,9.0,85.125,276.6073517,0.104
9/8/2013,5.7,13.9,8.4,6.3,87.625,344.5798782,0.111
9/9/2013,0.1,17.6,9.3,8.1,90.20833333,347.77491,0.107
9/10/2013,0.0,15.3,9.4,11.1,82.20833333,266.0400073,0.097
9/11/2013,0.1,19.7,12.0,10.7,87.79166667,301.5005421,0.095
9/12/2013,0.9,19.6,12.9,8.2,92.16666667,356.6136219,0.097
9/13/2013,3.4,13.4,9.9,4.6,90.375,352.4256654,0.111
9/14/2013,0.0,17.2,8.8,6.2,80.75,277.5985582,0.095
9/15/2013,1.2,17.3,8.7,17.2,82.375,319.6542032,0.09
9/16/2013,1.2,13.6,7.8,14.7,77.125,202.2567413,0.087
9/17/2013,3.8,18.6,9.3,14.0,90.16666667,352.0588411,0.101
9/18/2013,0.2,14.6,6.2,10.7,79.45833333,273.2205738,0.089
9/19/2013,1.0,17.2,6.3,12.4,81.5,315.8947929,0.08
9/20/2013,0.5,15.6,8.2,5.8,86.5,334.2699682,0.075
9/21/2013,0.1,21.1,12.4,7.1,96.91666667,373.3621864,0.076
9/22/2013,0.3,17.5,13.7,7.9,98.5,379.7741975,0.075
9/23/2013,0.6,15.4,13.8,12.4,100.0,385.7985739,0.076
9/24/2013,0.5,16.2,13.7,6.5,100.0,385.654002,0.078
9/25/2013,1.7,15.4,14.3,6.3,100.0,387.3389698,0.08
9/26/2013,0.6,17.4,13.0,7.0,99.66666667,384.4120929,0.079
9/27/2013,0.4,15.8,12.9,9.8,98.33333333,379.1492866,0.075
9/28/2013,3.2,14.9,12.8,11.8,92.91666667,362.3021128,0.073
9/29/2013,5.7,14.9,13.1,11.6,99.83333333,391.9222294,0.083
9/30/2013,7.2,15.6,14.4,12.3,100.0,394.9318148,0.116
10/1/2013,16.7,16.2,13.8,11.9,100.0,409.4954866,0.267
10/2/2013,8.8,17.5,15.3,13.6,99.83333333,396.7989155,0.346
10/3/2013,9.9,16.4,14.8,6.1,100.0,398.978038,0.278
10/4/2013,1.9,16.7,9.1,6.3,94.95833333,367.8001741,0.272
